incident_id,timestamp,customer_id,session_id,device_type,traffic_source,country,region,customer_segment,order_value,currency,payment_method,card_network,payment_attempt_number,payment_failure_reason,friction_type,baseline_conversion_probability,predicted_probability,model_confidence,treatment_group,intervention_type,discount_percent,discount_amount,expected_net_income,intervention_cost,recovered,recovered_gmv,incremental_gmv,revenue_saved,time_to_recovery_seconds,model_version,experiment_id
CHK_000001,2026-06-20T00:28:31Z,CUST_003538,SES_61196891,mobile,paid_search,IN,WB,returning,5350.0,INR,debit_card,Visa,2,authentication_failure,technical,0.088,0.391,0.91,treatment,payment_retry,0.0,0.0,811.68,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000002,2026-06-20T00:40:12Z,CUST_001980,SES_47320952,desktop,direct,IN,WB,returning,1450.0,INR,upi,None,1,authentication_failure,technical,0.088,0.373,0.86,treatment,payment_retry,0.0,0.0,190.71,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000003,2026-06-20T01:13:36Z,CUST_001472,SES_46557783,desktop,organic,IN,MH,price_sensitive,1650.0,INR,net_banking,None,1,customer_abandonment,price,0.03,0.494,0.81,treatment,8_percent_discount,0.08,132.0,288.6,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
CHK_000004,2026-06-20T01:18:10Z,CUST_000147,SES_15066704,mobile,direct,IN,UP,price_sensitive,950.0,INR,upi,None,1,insufficient_funds,payment,0.012,0.375,0.89,treatment,alternative_payment,0.0,0.0,173.32,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000005,2026-06-20T02:57:58Z,CUST_001907,SES_21386165,desktop,social,IN,GJ,new,1100.0,INR,upi,None,1,authentication_failure,technical,0.046,0.28,0.94,treatment,payment_retry,0.0,0.0,125.07,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000006,2026-06-20T06:09:33Z,CUST_000505,SES_37359446,mobile,paid_search,IN,TN,new,6700.0,INR,credit_card,Mastercard,1,customer_abandonment,price,0.027,0.366,0.82,treatment,6_percent_discount,0.06,402.0,1059.17,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
CHK_000007,2026-06-20T06:26:48Z,CUST_003269,SES_22938280,desktop,social,IN,TN,new,1650.0,INR,credit_card,Visa,2,customer_abandonment,price,0.041,0.301,0.75,treatment,personalized_offer,0.0,0.0,227.81,10.0,1,1650.0,1416.61,617.0,44,v4.1.0-beta,EXP_001
CHK_000008,2026-06-20T06:43:33Z,CUST_002575,SES_99858621,mobile,organic,IN,GJ,new,3300.0,INR,debit_card,RuPay,1,bank_decline,payment,0.012,0.247,0.94,treatment,alternative_payment,0.0,0.0,576.14,20.0,1,3300.0,3135.0,1234.0,282,v4.1.0-beta,EXP_001
CHK_000009,2026-06-20T06:48:22Z,CUST_003231,SES_57657762,mobile,direct,IN,DL,new,1150.0,INR,upi,None,1,technical_error,technical,0.035,0.277,0.94,treatment,payment_retry,0.0,0.0,137.65,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000010,2026-06-20T06:59:25Z,CUST_000072,SES_26995703,desktop,email,IN,TN,new,4350.0,INR,upi,None,2,technical_error,technical,0.049,0.211,0.94,treatment,alternative_payment,0.0,0.0,501.35,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000011,2026-06-20T07:08:45Z,CUST_000618,SES_88632184,mobile,direct,IN,MH,new,500.0,INR,credit_card,Visa,2,bank_decline,payment,0.018,0.311,0.83,treatment,alternative_payment,0.0,0.0,73.71,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000012,2026-06-20T07:14:09Z,CUST_001391,SES_90248685,tablet,direct,IN,KA,returning,3100.0,INR,upi,None,1,customer_abandonment,price,0.076,0.361,0.87,treatment,6_percent_discount,0.06,186.0,476.56,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
